,0
399,ምርጫ
400,ድል
401,ድል
402,ዲሞክራሲ
403,ድል
404,ኢትዮጵያ
405,እኔ
406,ፊት
407,ስም
408,አቢይ
409,ጠረጴዛ
410,ወላጅ
411,ይቅርታ
412,ፎቶ
413,ማናየ
414,ሀጢአት
415,ገዥ
416,ሀሳብ
417,ነቀዝ
418,አእምሮ
419,ብዙ
420,አቶ
421,ጌታ
422,ሀገር
423,ውጭ
424,ውስጥ
425,ረገድ
426,ውጤታማ
427,ስራ
428,ምስጋና
429,ሂደት
430,ሀገር
431,ባህል
432,ባህል
433,እንዳለ
434,ባህል
435,አል
436,ልብ
437,ፈረንጅ
438,እናት
439,አባት
440,ብዙ
441,ቸሩ
442,ወርሀዊ
443,አል
444,ሰላም
445,ቸሩ
446,ልብ
447,ሀገር
448,ሰላም
449,ፍቅር
450,አንድነት
451,እለት
452,እውነት
453,አብይ
454,ቀጭን
455,ትእዛዝ
456,ምክር
457,ቤት
458,ዘመቻ
459,እነማን
460,የት
461,ምሁር
462,አባት
463,በር
464,በጭራሽ
465,ጅብ
466,ቆዳ
467,ክራር
468,ቅኝት
469,መሪ
470,ወንጀለኛ
471,ህዝብ
472,ጊዜ
473,ፍርድ
474,ጊዜ
475,ጎሳ
476,ክልል
477,ቫይረስ
478,ዱር
479,እንስሳነት
480,ደረጃ
481,ነቀርሳ
482,ናንት
483,ንቁ
484,መልእክተኛ
485,አል
486,ህይወት
487,ጎዳና
488,እኛ
489,ደስተኛ
490,ደንበኛ
491,ልብ
492,ቤተሰብ
493,ቤተሰብ
494,ቤተሰብ
495,ዘመን
496,ቤተሰብ
497,አማርኛ
498,ፖሊስ
499,ግለሰብ
500,መቀሌ
501,ከተማ
502,አዲ
503,ልጅ
504,ስምምነት
505,ዝርዝር
506,ኢትዮጵያ
507,ዘላቂ
508,ጥቅም
509,ጐዳ
510,ምን
511,አይነት
512,ስምምነት
513,ጫና
514,ስምምነት
515,ተቀባይነት
516,አህያ
517,ኢትዮጵያዊ
518,ህዝብ
519,መጥፎ
520,ጤንነት
521,ወደብ
522,ፍቅር
523,ሀይል
524,ኢትዮጵያዊ
525,አባት
526,ፈቃድ
527,ማርያ
528,እንግዳ
529,እግዚአብሄር
530,ንጹህ
531,ድንግልና
532,እንስሳ
533,በረት
534,ንግስ
535,እጅ
536,እናት
537,ጡት
538,ምግብ
539,ህጻን
540,ውል
541,ጊዜ
542,ጅል
543,ወላይታ
544,ሶዶ
545,ቀን
546,ጉባኤ
547,ምሽት
548,መልክ
549,ድንቅ
550,ውበት
551,ደስታ
552,ገና
553,በአል
554,መልካ
555,ምኞት
556,አዲ
557,ሞባይል
558,ካርድ
559,እስዎ
560,ደንበኛ
561,ሂሳብ
562,ጽሁፍ
563,መልእክት
564,ያሬድ
565,ሙከራ
566,እድል
567,አይነት
568,ዲቃላ
569,ንግግር
570,ማን
571,ኢትዮጵያ
572,ህልውና
573,ትውልድ
574,እጅ
575,ትውልድ
576,ዘር
577,ቋንቋ
578,ሀይማኖት
579,ክቡር
580,ሚኒስቴር
581,ሀገር
582,ኢትዮጵያ
583,ኢኮኖሚ
584,አሉታዊ
585,ተጽእኖ
586,ለአለም
587,ጊዜ
588,እውነቱ
589,ቅኝት
590,አመት
591,ግብር
592,ህይወት
593,ማረሻ
594,ዶማ
595,በሬ
596,ፍጥነት
597,አመት
598,ጊዜ
599,ከተማ
600,ነዋሪ
601,ውድነት
602,ትእግስት
603,ዘፈን
604,ጸሀይ
605,ኩራዝ
606,አማርኛ
607,ፖለቲከኛ
608,መንግስት
609,ቃል
610,አቶ
611,ንጉስ
612,ጥላሁን
613,ስር
614,ፍቃደ
615,ህዝብ
616,ወንጀል
617,ዜጋ
618,ውሸት
619,አጀንዳ
620,አብርሀ
621,አልበም
622,ምስግ
623,ምስክር
624,ሀገር
625,በቀል
626,እውቀት
627,ተመራማሪ
628,ገላ
629,መጽሀፍ
630,ሀሳብ
631,ውይይት
632,ጾም
633,ፍትፍት
634,ፍትወት
635,ተስፍ
636,አባ
637,ትርጉም
638,መስመር
639,ፓርቲ
640,ህጋዊ
641,ፍቃድ
642,ውጭ
643,ዜጋ
644,አባል
645,መንግስቱ
646,ፓርቲ
647,መስተፋቅር
648,ዋጋ
649,ልደት
650,ሰሞን
651,ዜማ
652,መዝሙር
653,ዮሴፍ
654,ሰሎሜ
655,ኢየሩሳሌም
656,ኢየሩሳሌም
657,ኢየሩሳሌም
658,አምላክ
659,ኦሮሞ
660,አምቦ
661,ልዩ
662,ጥቅም
663,ፍጹም
664,ኦቦ
665,ዳውድ
666,ኢብሳ
667,መንግስት
668,ተግባር
669,ዜጋ
670,ደህንነት
671,አስቸኳይ
672,ቃል
673,ቀድሞ
674,አባት
675,ዘመን
676,ፊት
677,ጴጥሮስ
678,ማ
679,መገርሳ
680,ትናንት
681,ስራ
682,አገር
683,መስመር
684,ከተራ
685,ተራ
686,አልበም
687,ደረጃ
688,አቦነሽ
689,ስራ
690,ጉራጌ
691,ደሳለኝ
692,ስራ
693,ስራ
694,ኦሮሞ
695,የዋህ
696,አመት
697,አይነት
698,ቃል
699,ተግባር
700,ሀሳብ
701,ስልጣን
702,ኢትዮጵያ
703,ልሙጥ
704,ራስ
705,መንግስት
706,አራት
707,ኪሎ
708,ዘረኛ
709,ስብስብ
710,ስልጣን
711,እድሜ
712,ጥቂት
713,ህገወጥ
714,ቡድን
715,ስልጣን
716,አሁን
717,ደንብ
718,ፖለቲካ
719,መሀል
720,አገር
721,ትግራይ
722,ፍቅር
723,ልዩ
724,እውነት
725,ቀን
726,ኑሮ
727,ሰላም
728,ቀውስ
729,ትግራይ
730,ቀና
731,ፍቅር
732,አብሽር
733,ትንሽ
734,ጨዋታ
735,ሽብር
736,ተግባር
737,ክልል
738,ይፋ
739,ተግባር
740,ሽብርተኛ
741,ከለላ
742,ከተማ
743,ሙስሊም
744,ታሪክ
745,ሰው
746,እስልምና
747,ኢትዮጵያ
748,ንጉስ
749,አሁን
750,አዲ
751,እምነት
752,ሰአት
753,ሰሞን
754,አውስትራልያ
755,ጥቅጥቅ
756,ደን
757,ዝናብ
758,ሌላ
759,አዲ
760,ሙስና
761,አነስተኛ
762,ገንዘብ
763,መሬት
764,ህይወት
765,ነገር
766,ሀገር
767,ጉዳይ
768,መሬት
769,ጥንት
770,ላቲን
771,እኔ
772,ያህ
773,ባእድ
774,ቋንቋ
775,ባእድ
776,ሀገር
777,ራስ
778,ቋንቋ
779,ልክ
780,አባ
781,ተስፋስላሴ
782,ሞገስ
783,ተራ
784,ትርጉም
785,ሌላ
786,ምሁር
787,እኩል
788,ፍትህ
789,ኦሮሞ
790,እስር
791,ቤት
792,ታሪክ
793,ሰው
794,አይነት
795,ህሊና
796,ብር
797,ስሜት
798,ልብ
799,አማራ
800,ዩኒቨርስቲ
801,ጥሩ
802,እሱ
803,ፖለቲካ
804,ከባድ
805,ሚዛን
806,መስፈርት
807,ቦታ
808,ብቁነት
809,ምን
810,በጎ
811,ፈቃድ
812,ደደብ
813,ኢትዮጵያ
814,መሪ
815,ባእድ
816,ሀገር
817,ቋንቋ
818,ግድ
819,ቀና
820,ቋንቋ
821,ባሪያ
822,መንግስታዊ
823,ወገን
824,ፖለቲካዊ
825,ጨዋታ
826,ህይወት
827,አቶ
828,ንጉስ
829,ጥላሁን
830,አማራ
831,እቃ
832,አሁን
833,ለም
834,አማርኛ
835,አሁን
836,ኢትዮጵያ
837,ሰብአዊ
838,መብት
839,ኮሚሽን
840,ኮሚሽነር
841,ዶክተር
842,ዳንኤል
843,ግልጽ
844,ማብራሪያ
845,አዋሽ
846,ባንክ
847,ድንገተኛ
848,ጠቅላላ
849,ጉባኤ
850,ህዳር
851,አዲ
852,አበባ
853,ሆቴል
854,ጨለማ
855,ጨረቃ
856,ሌሊት
857,ልጅ
858,ጨለማ
859,ጌታ
860,ጥልቅ
861,ማስታወሻ
862,ስቃይ
863,ምርጥ
864,አሁን
865,ቅስቀሳ
866,አል
867,ውይይት
868,ንግግር
869,ህዝብ
870,ዘመቻ
871,ምርጫ
872,ችግር
873,ምሳሌ
874,ዛሬ
875,ሙስሊም
876,ፖለቲካ
877,ጩኸት
878,ወንጀል
879,ጩኸት
880,መላ
881,ፍጡር
882,ጩኸት
883,ፍትህ
884,ህግ
885,ክልል
886,ደረጃ
887,ይፋ
888,ማንነት
889,ልብ
890,ሀዘን
891,ቅሬታ
892,ንዴት
893,ሞጣ
894,ሙስሊም
895,ክርስቲያን
896,አማራ
897,አማራ
898,ክልል
899,እስልምና
900,ጉዳይ
901,ምክር
902,ቤት
903,ሰብሳቢ
904,ሰይድ
905,እንድሪስ
906,አማራ
907,ብርሀን
908,ጠላ
909,ፉክክር
910,ምርጫ
911,ስልጣን
912,ውነተኛ
913,ልዩነት
914,ኢትዮጵያ
915,ከፍተኛ
916,ሊግ
917,ጨዋታ
918,ውጤት
919,አዲ
920,አበባ
921,ከተማ
922,ኢትዮጵያ
923,ብሄራዊ
924,ምርጫ
925,ቦርድ
926,አመራር
927,ዛሬ
928,ምላሽ
929,ቅስቀሳ
930,ፓርቲ
931,ቦርድ
932,አጃ
933,ዘመን
934,አሁን
935,አምላክ
936,እኛ
937,መድረክ
938,አፋር
939,ወንድ
940,እህት
941,ዛሬ
942,ዘመናዊ
943,መንደር
944,ግንባታ
945,መሀል
946,አዲ
947,አበባ
948,ጎተራ
949,ልጅ
950,አንተ
951,ምንጭ
952,ምድር
953,አዳም
954,እሱ
955,ፊት
956,ማን
957,እርግጠኛ
958,ጥቅስ
959,አዲ
960,አድማስ
961,ጋዜጣ
962,ዛሬ
963,አመት
964,ጥሩ
965,ቢራ
966,ታክሲ
967,ላሊበላ
968,እንግዳ
969,ቱሪስት
970,ክርስቶስ
971,እምር
972,ቡና
973,ሽማግሌ
974,የት
975,ጡረታ
976,ወንድም
977,ስድብ
978,ድክመት
979,ሰው
980,እሱ
981,ዋጋ
982,ሌላ
983,ሀሳብ
984,ፎቶ
985,ምክንያት
986,ግእዝ
987,ቋንቋ
988,ሰፊ
989,እድል
990,መላ
991,ክርስቶስ
992,ልደት
993,አል
994,ሰላም
995,ዱላ
996,ጥይት
997,እኛ
998,እውነት
999,ሀይማኖት
1000,አምላክ
1001,ወሎ
1002,ቆንጆ
1003,ጥሩ
1004,መልእክት
1005,ብዙ
1006,ቋንቋ
1007,ቋጥኝ
1008,መልእክት
1009,ሚስት
1010,ልብ
1011,አመት
1012,ህጻን
1013,እጅ
1014,ብር
1015,ቤተሰብ
1016,ገንዘብ
1017,ሰው
1018,ህይወት
1019,ፖለቲካ
1020,ድርጅት
1021,ፍትህ
1022,ፍትህ
1023,ምስኪን
1024,የዋህ
1025,አማኝ
1026,ፖለቲከኛ
1027,ነጻነት
1028,አብ
1029,ሀላፊ
1030,አቶ
1031,ካሳ
1032,ልጅ
1033,ምኒልክ
1034,ደብዳቤ
1035,ትግራይ
1036,ትግሬ
1037,ብሄር
1038,ዜና
1039,አረር
1040,ብዙ
1041,አሰልጣኝ
1042,ዘላለም
1043,ሽፈራው
1044,ቡድን
1045,ጅማ
1046,አባ
1047,ቡና
1048,ብሄራዊ
1049,ሊግ
1050,ቡድን
1051,ትግራይ
1052,ፓርቲ
1053,ኦሮሚያ
1054,ጋዲሳ
1055,ትግራይ
1056,ክልል
1057,ፓርቲ
1058,እርምጃ
1059,መልካ
1060,አይነት
1061,በሬ
1062,ህጻን
1063,ተገቢ
1064,ሞያ
1065,ሰብአዊ
1066,መብት
1067,ፖለቲካ
1068,ስራ
1069,መተግበር
1070,ጥያቄ
1071,ዙሪያ
1072,ውይይት
1073,በገና
1074,ፍቅር
1075,ጦርነት
1076,ጊዜ
1077,ኢትዮጵያዊ
1078,እኛ
1079,ወገን
1080,ቦታ
1081,ቅጠል
1082,እናንተ
1083,ሄኖክ
1084,ሁሉ
1085,ሁሉ
1086,ህዝብ
1087,እናት
1088,ሀገር
1089,ሰላም
1090,መለስ
1091,አማኑኤል
1092,መልካ
1093,ፍቃድ
1094,ምን
1095,ሙያዊ
1096,መንጋ
1097,እረኛ
1098,ነገር
1099,ማእረግ
1100,ከባድ
1101,አገር
1102,በሬ
1103,እኔ
1104,ከፋ
1105,በደል
1106,ሳር
1107,ወንበር
1108,እጅ
1109,ወገብ
1110,ፊደል
1111,መላ
1112,ኢትዮጵያ
1113,ክርስቲያን
1114,ገና
1115,አል
1116,ብልጽግና
1117,አል
1118,አማራ
1119,ልክ
1120,ኢትዮጵያ
1121,ፕሪሚየር
1122,ሊግ
1123,ልፊያ
1124,አንዳንድ
1125,አሰልጣኝ
1126,ሬዲዮ
1127,ሚዲያ
1128,አሳፋሪ
1129,ጨዋታ
1130,አዋቂ
1131,ልጅ
1132,ሞት
1133,አፋር
1134,ወሎ
1135,ክልል
1136,ፈለግ
1137,መብት
1138,ኮምቦልቻ
1139,አፋር
1140,እንዳለ
1141,ድርጊት
1142,ስርአት
1143,መልካ
1144,ልደት
1145,አል
1146,ኢሳያስ
1147,እስራኤል
1148,ወንጀል
1149,ፍርድ
1150,ቤት
1151,ሀገር
1152,እምነት
1153,ሰው
1154,መንገድ
1155,እስራኤል
1156,ሀሳብ
1157,ነጋ
1158,አብይ
1159,አህመድ
1160,አገር
1161,ራስ
1162,ሀሳብ
1163,ጥላቻ
1164,ጊዜ
1165,ሰው
1166,ጥሩ
1167,ችግር
1168,እቃ
1169,ጥላቻ
1170,እልክ
1171,በሽታ
1172,ሀሰት
1173,ተስፋ
1174,እውነተኛ
1175,ርኩስ
1176,ራስ
1177,ደብተራ
1178,ወይን
1179,ወገን
1180,መኪና
1181,አደጋ
1182,እግዚአብሄር
1183,ጊዜ
1184,መብት
1185,መሪ
1186,ብርሀን
1187,ነጋ
1188,ፕሮፌሰር
1189,ከባድ
1190,ሴራ
1191,ቍጥር
1192,ተቃራኒ
1193,ቡድን
1194,አማራ
1195,ደም
1196,ጨዋታ
1197,ሳምንት
1198,ፊት
1199,አማራ
1200,አብይ
1201,ባሪያ
1202,አቶ
1203,አል
1204,ዛሬ
1205,ኦሮሚያ
1206,መንግስት
1207,አል
1208,ዛሬ
1209,ገንገበት
1210,ንጉስ
1211,እህተ
1212,ዘይት
1213,መልእክት
1214,ደሀ
1215,ደንታ
1216,ቢስ
1217,እድገት
1218,ቀጣይ
1219,መንግስት
1220,ሀላፊ
1221,መብት
1222,አፋጣኝ
1223,እርምጃ
1224,ተገቢ
1225,ዜና
1226,ኮፒ
1227,ሙያ
1228,ነውር
1229,እኔ
1230,እውነት
1231,እስር
1232,አደራ
1233,ምክር
1234,አክራሪ
1235,ፖለቲካ
1236,ሞጣ
1237,ግልጽ
1238,ጥቃት
1239,መከራ
1240,ቅድሚያ
1241,ዲሞክራሲ
1242,ሚዲያ
1243,ፍትህ
1244,እኩል
1245,ተጠቃሚነት
1246,ሚና
1247,ህብረተሰብ
1248,ችግር
1249,ጐላ
1250,እውነት
1251,ልክ
1252,ሂሳብ
1253,ብርሀን
1254,ባንክ
1255,ስምምነት
1256,መንግስት
1257,ባንክ
1258,ጤናማ
1259,ውድድር
1260,እንግዳ
1261,ስምምነት
1262,ወንዳገረድ
1263,አቶ
1264,ንጉስ
1265,አሁን
1266,አይነት
1267,ጥሩ
1268,ንግግር
1269,ፈጣሪ
1270,መዥገር
1271,ምን
1272,መልክ
1273,አማራ
1274,ኢትዮጵያ
1275,ፖለቲካ
1276,ሴራ
1277,ፖለቲካ
1278,ብዙ
1279,ዋጋ
1280,ጥያቄ
1281,ጓሮ
1282,ጉዳይ
1283,ጅቡቲ
1284,ነውረኛ
1285,ወጠጤ
1286,ብድር
1287,ሸጋ
1288,ዘመድ
1289,እቃ
1290,ሁሉ
1291,ኮፒ
1292,ትርጉም
1293,ስድብ
1294,አብ
1295,መካከለኛ
1296,ምስራቅ
1297,ጉብኝት
1298,መንግስት
1299,ይሁንታ
1300,እግዚአብሄር
1301,ተስፋ
1302,መልካ
1303,ጐዳ
1304,ሀዘን
1305,ጊዜ
1306,ቁስል
1307,ደም
1308,አይን
1309,ምሳሌ
1310,ጉዳይ
1311,ሚኒስቴር
1312,ጽህፈት
1313,ቤት
1314,ዛሬ
1315,ሰአት
1316,ሳይንስ
1317,ከፍተኛ
1318,ትምህርት
1319,ሚኒስቴር
1320,ሳሙኤል
1321,ክፍል
1322,አዲ
1323,ማለዳ
1324,ሀገር
1325,ጥሩ
1326,ክፍተት
1327,እድገት
1328,ምንጭ
1329,ምሳሌ
1330,ብድር
1331,ምጣኔ
1332,ልክ
1333,ሰላም
1334,ሽልማት
1335,ብልጽግና
1336,ኦሮሞ
1337,አሜሪካ
1338,ሽልማት
1339,አል
1340,አል
1341,ሰላም
1342,ፍቅር
1343,አጠቃላይ
1344,ቢሊዮን
1345,ብር
1346,ባእድ
1347,ቅቤ
1348,ምርት
1349,ኢትዮጵያ
1350,ምግብ
1351,መድሀኒት
1352,ቁጥጥር
1353,ባለስልጣን
1354,ስራ
1355,ከንቱ
1356,አመት
1357,አል
1358,ደስታ
1359,ፍቅር
1360,ቀን
1361,ምክንያት
1362,ቤተሰብ
1363,ክብር
1364,ነጋ
1365,ሰአት
1366,ምርጫ
1367,ህክምና
1368,መቼ
1369,ትርጉም
1370,ሰው
1371,ልጅ
1372,መልካም
1373,ተስፋ
1374,ተስፋ
1375,አቅጣጫ
1376,ጠፍ
1377,ትክክለኛ
1378,አቅጣጫ
1379,ብርታት
1380,እውቀት
1381,ሌላ
1382,እውቀት
1383,ሀገር
1384,መሪ
1385,እናት
1386,ሰላም
1387,ዋና
1388,ውነተኛ
1389,ህዝብ
1390,ልጅ
1391,ዛሬ
1392,ልጅ
1393,መና
1394,ቀን
1395,ሩቅ
1396,ብልጽግና
1397,ፓርቲ
1398,መስመር
1399,ልዩነት
1400,ምክንያት
1401,ድርጅታዊ
1402,ጉባኤ
1403,ጉባኤ
1404,ነጥብ
1405,አቋም
1406,ሀገር
1407,ወግ
1408,ሀገር
1409,አዲ
1410,ለም
1411,አዲ
1412,አሁን
1413,ሹመት
1414,መቃብር
1415,አሁን
1416,ምርጫ
1417,እስር
1418,አሁን
1419,ሀሳብ
1420,ነፍጠኛ
1421,ማን
1422,እጅ
1423,መዘዝ
1424,ብዙ
1425,እርምጃ
1426,ዜና
1427,ኮፒ
1428,ሙያ
1429,ነውር
1430,እኔ
1431,ቴሌግራም
1432,ኮፒ
1433,ሞጣ
1434,ሙስሊም
1435,ግፍ
1436,ቦታ
1437,ማን
1438,ሁሉ
1439,ሀላፊነት
1440,አለነ
1441,ተቃራኒ
1442,ላሊበላ
1443,ነጋ
1444,ዛሬ
1445,ጥሩ
1446,ጎረቤት
1447,ራስ
1448,ብልጽግና
1449,ሰው
1450,ልጅ
1451,መልክ
1452,ቀለም
1453,ፈገግታ
1454,ደስታ
1455,ሰው
1456,መልክ
1457,አውሬ
1458,ምን
1459,ህጻን
1460,ተቃዋሚ
1461,ዘረኛ
1462,ቀን
1463,ማንኛውም
1464,ደቂቃ
1465,ደም
1466,ደም
1467,አፈር
1468,ቤት
1469,ንጹሀን
1470,አማኝ
1471,ደም
1472,ሞት
1473,ህይወት
1474,ሪፖርት
1475,ቡና
1476,ሽንፈት
1477,ድል
1478,ደግ
1479,ጓያ
1480,ፕሮፌሰር
1481,ጴጥሮስ
1482,ሀብት
1483,ብልጽግና
1484,መሪ
1485,ቃል
1486,ዘንድሮ
1487,እንቅስቃሴ
1488,ይፋ
1489,ችግር
1490,ይቺ
1491,አገር
1492,አመት
1493,ደም
1494,ገና
1495,በርበሬ
1496,ሚጥሚጣ
1497,ቁርጥ
1498,ክትፎ
1499,ጥብስ
1500,ቅቅል
1501,ወጥ
1502,ዶሮ
1503,ቁምነገር
1504,ድጎማ
1505,ቤት
1506,ክበብ
1507,አሁን
1508,ሰአት
1509,ምግብ
1510,ዋጋ
1511,ደህና
1512,አብዛኛ
1513,ዜጋ
1514,ኪስ
1515,መንግስት
1516,ድጎማ
1517,ምግብ
1518,ቤት
1519,ጓደኛ
1520,በግ
1521,ምሳ
1522,እቃ
1523,ትምህርት
1524,ቤት
1525,አማርኛ
1526,ፖለቲከኛ
1527,እኔ
1528,ዛሬ
1529,ሰሞን
1530,ውሳኔ
1531,ህዝብ
1532,ምርጫ
1533,ውጤት
1534,ፊት
1535,ታህሳስ
1536,ህዝባዊ
1537,ስብሰባ
1538,ቅስቀሳ
1539,ወረዳ
1540,አሜሪካ
1541,ትናንት
1542,ቃሲም
1543,ቴህራን
1544,ከተማ
1545,ወንድም
1546,አሜሪካ
1547,አውሮፓ
1548,ውድ
1549,ዛሬ
1550,እግዚአብሄር
1551,ቀጣይ
1552,ጉዳይ
1553,እሸት
1554,ህዝብ
1555,ልብ
1556,ተስፋ
1557,ወለጋ
1558,ምሁር
1559,ማህጸን
1560,ወለጋ
1561,ኦሮሞ
1562,ጥበብ
1563,ቋት
1564,ወለጋ
1565,መኮ
1566,ኦዳ
1567,ታሪክ
1568,ከርስ
1569,ወለጋ
1570,አብዲሳ
1571,አጋ
1572,ጀግንነት
1573,ወለጋ
