,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
11,ለካስ,ጭብል,ለብሰሽ,የፕሮፌሰርን,ፎቶ,ለጥፈክ,እልም,ያልክ,ባዳ,ነክ,እፈር,ትንሽ,,,,,,,,,,,,,,,,,,,,,,,,
12,ታህሳስ,ቀን,በሞጣ,ከተማ,አስተዳደር,በመስጅዶችና,ሱቆች,የደረሰውን,የእሳት,ቃጠሎ,በማውገዝ,የእስልምና,ሃይማኖት,ተከታዮች,በባህር,ዳር,ሰላማዊ,ሰልፍ,እያካሄዱ,ይገኛሉ,,,,,,,,,,,,,,,,
13,አሜሪካ,ሱሌይማኒን,በመግደል,ቀይ,መስመሩን,ሳታልፍ,አይቀርም,ዜጎቿ,አገሪቱን,ለቀው,እንዲወጡ,አዝዛለች,ጀለሶቿ,ደግሞ,እያሉ,መለማመጥ,ጀምረዋል,,,,,,,,,,,,,,,,,,,
14,ይሄው,አይደል,የእውቀትሽ,ጥግበሰሚ,ሰሚ,ከምትናገሪ,ታሪክ,አታነቢምደሞ,ራስሽን,አታስገምቺ,,,,,,,,,,,,,,,,,,,,,,,,,,
15,የሚባክን,ጊዜ,መኖር,የለበትም,ዳይ,ስራ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,የጎንደር,ዩኒቨርሲቲ,ተማሪዎችመምህራንና,የአስተዳደር,ሰራተኞቹ,እርምጃ,ወሰደ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,አማራ,ክልል,ሲፈጠር,የማያወግዝ,የለም,ከፖለቲከኛው,እስከሊስትሮ,ድረስ,ኦሮሞ,ክልል,ግን,አሰቃቂ,ሽብር,ሲፈጽም,ባላየ,የሚያልፎት,ሊያወግዙ,ይቅርና,,,,,,,,,,,,,,,,,,
18,ዛሬ,ጁመአ,በወሎ,ኮንቦልቻ,የተደረካ,ከባድ,መልክት,የቃውሞ,ሰልፍ,ብልጽግና,ፓርቲ,ብልጽግናችሁን,አሳዩን,,,,,,,,,,,,,,,,,,,,,,,
19,ትንሽ,ቆይተህ,ዶርብርሀኑና,በዶር,አብይ,ምንም,ልዩነት,የለም,እንዳትለን,ምፈራው,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ቢቢሲ,ዘገበ,ይባላል,የሚባል,ካለ,አንተዉ,ንገረን,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,አማራ,ክልል,ፈልቶበታል,ልኩን,ማስገባት,ሙስሊሞችን,ጠልቶ,ሙስሊሞች,በሚኖርባት,ኦሮምያ,ግንኙነትን,አትሰበው,,,,,,,,,,,,,,,,,,,,,,,,
22,እረ,ፍጠሩና,እንቅጩን,ንገሩን,እህህ,እስከመቼ,አሁንስ,ይበቃል,አያቴ,መቀነቷን,ፈታ,ለግድቡ,የከፈለችበትን,ዋጋ,ሳትሞት,እንድታየወ,አድርጓት,,,,,,,,,,,,,,,,,,,
23,ባህልን,ያደረጉ,መገለጫዎች,አሉት,መገለጫዎቹም,መደበኛና,ኢመደበኛ,ስርአታት,ስር,ሰደውና,ጎልተው,ሊይታዩ,ይችላሉ,የጎንዮሽ,ኢእኩልነት,አብላጫውን,የፖለቲካ,ንቅናቄ,ሂደትን,በሚቆጣ,,,,,,,,,,,,,,,,
24,ጥበበኛው,የፍቅር,አስተማሪ,ቴዲ,አፍሮ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,የአቢይ,አህመድ,መንግስት,ያደረጋቸውን,በርካታ,በጎ,ተግባራት,መዘርዘር,ይቻላል,ግን,መንግስት,የመጀመሪያ,ሀላፊነት,የዜጎችን,ደህንነት,በማስጠበቅ,ረገድ,,,,,,,,,,,,,,,,,,,
26,ጽድቅና,ኩነኔ,ቢኖርም,ባይኖርም,ከክፋት,ደግነት,ሳይሻል,አይቀርም,ፉት,እያላችሁማ,,,,,,,,,,,,,,,,,,,,,,,,,,
27,መንግስት,ሆይ,ሀገሪቷን,የማፍያ,መፈንጫ,እንድትሆን,አትተዋት,ሰላም,አልፈልግም,ጉልበት,ለመረጠ,በእቅፍ,አበባ,በሚደቁስ,ጠንካራ,ክንድ,መቀበሉ,የግድ,,,,,,,,,,,,,,,,,,
28,"በ""መጽሀፈ","ጨዋታ""",መሰናዶ,ያየሁት,ተመቸኝ,ቃለ,መጠይቅ,የተካሄበት,ቦታ,ላይብረሪ,ይመስለኛል,ተሰንደው,በተደረደሩ,ጋዜጦች,የተሞላ,ለምሳሌ,አዲስ,ዘመን,ሪፖርተር,ፎርቹን,አዲስ,አድማስ,ጋዜጦች,ተሰንደው,ተመልክቻለሁ,,,,,,,,,,,
29,ድሮ,በዘመነ,ኮዳክ,ፎቶ,ቤት,ፍላሹ,ፏ,አይናችን,ተጨፍኖ,እንዳይወጣ,የምንቸክለውን,አስታወሰኝ,ግን,ከሗላ,ቴዲ,ፊቱን,አዞረ,እኮ,,,,,,,,,,,,,,,,,,
30,ዠልጥ,ገገማ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ታቦተ,ህጉ,ለእግዚአብሄር,በካህናታ,ህጽርት,ወበመንፈስቅዱስ,ክልልት,ንጉስኪ,ጽዮን,ኢይትመዋእ,ለጸር,ወኢየሀድጋ,ለሀገር,በካህናት,የተከበብሽ,በመንፈስ,ቅዱስ,የተከለልሽ,የእግዚአብሄር,ታቦተ,ህግ,ጽዮን,ንጉስሽ,ለጠላት,አይሸነፍም,ሀገርንም,አይተዉም,,,,,,,,,
32,እናማ,ልሙጡ,ባንዴራን,ለቤተክርስትያኒቷ,አስረክባቹ,በተሻለ,መንገደ,ሰለማዊና,የተረጋጋ,ክልል,በመፍጠር,ሰርታቹ,አሳዩን,ተዛ,ለሚመጣ,የውጭ,ወራሪጠላት,አብረን,ንቆማለን,,,,,,,,,,,,,,,,,
33,ብድር,በምድር,ተገቢ,አይደለም,በፊት,ስንቃወም,የነበረው,አልነበር,ታድያ,ጉልቻ,ቢቀየር,ሆኗል,ነገሩ,ማለት,ነዋ,ሃገሬ,ደጉን,ያምጣልን,እንላለን,,,,,,,,,,,,,,,,,
34,ለውጡን,ያለመው,የኦሮሚያ,ባለሃብቶች,ውይይት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,የሀገሩን,ችግር,የሚያውቅ,መፍትሄ,የሚያመጣ,በትክክል,የሀገሩ,ይቺ,ወጣት,ለእንጀራ,መጋገር,የሚያስፈልገውን,አብሲት,በተለየና,በቀለለ,ዘዴ,በማዘጋጀት,ለእናቶቻችን,ውለታ,ውላለች,ከሰይፉ,በኢቢኤስ,,,,,,,,,,,,,,
36,ማንም,ምንም,አያውቅምእና,ማንም,ሁሉን,ያውቃልአይባልም,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ስውር,ህዝብም,ጭምር,የሰዉ,ሂሉን,እሺ,መቻል,ሚገርመኝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,የሃይማኖት,መሪዎች,ለክርስትና,እምነት,ተከታዮች,የእንኳን,አደረሳችሁ,መልእክት,አስተላለፉ,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,አዲሱ,የአቶ,ሬድዋን,ሁሴን,ሹመትመንታ,መንገድ,የቆመው,የስልጤ,ምርጫ,እመለስባታለው,ጠብቁኝ,,,,,,,,,,,,,,,,,,,,,,,,,
40,ከአፋር,ወጣቶች,የተላለፈው,አስቸኳይ,መልእክት,የአፋር,ወጣቶች,የአማራ,ክልል,ርእሰ,መስተዳድር,በክልሉ,እያደረጉት,ያለውን,ጉብኝት,ለመቃወም,በሰመራ,ሉሲ,አደራሽ,ልክ,አአ,ሰአት,እንገናኝ,እያሉ,,,,,,,,,,,,
41,መጀመሪያ,ቃል,ነበረ,ቃልም,በቀለም,ተቀናበረ,ቃልና,ቀለም,በተግባር,ኖረ,መእራፉን,ጨርሶ,ቋጠረ,,,,,,,,,,,,,,,,,,,,,,,
42,የቤት,ጥቃት,–,ያለሰሚ,–,ያለተመልካች,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ሪፖርት,ፈረሰኞቹ,ምአም,አናብስትን,በመርታት,አሸናፊነት,ተመልሰዋል,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,የህወሀት,ማእከላዊ,ኮሚቴ,አባል,አቶ,ጌታቸው,ረዳ,ትላንት,በድምጺ,ወያነ,ቴሌቪዥን,ህወሀት,ቀጣይ,እጣ,ፈንታ,ተናግረዋል,እየተባለ,በማህበራዊ,ሚዲያ,የሚሰራጨው,ዜና,ሀሰተኛ,,,,,,,,,,,,,,
45,"""ኤርትራውያን",ስነ,ጥበበኛታት,ንናይ,ጎደና,ስነጥበብ,ክንደፍኣሉ,ይግባእ,ንዘሎና,ሃብታም,ታሪኽ,ብቕርጻ,ብቕብኣን,ስነ,ጽሁፍን,ክንትርኾ,ኣሎና,ነፍሲ,ወከፍ,ጎደና,ታሪኽ,ክንስንደሉ,ዝኽእል,"እዩ""",,,,,,,,,,,,
46,አይ,ካሳዬ,ስምንተኛ,ክፍልን,ዘልቋል,ብለን,የሾምነው,መልሱ,እኮ,እዛው,በቀይ,ያሰመርከው,"""ከጊዜው",ነባራዊ,ጋ,ሊያራምዳቸው,አለቀ,,,,,,,,,,,,,,,,,,,
47,ሀገር,አቀፍ,ብሄራዊ,የሴቶች,የሰላም,ምክር,ቤት,ተቋቋመ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ሰአት,የቴሌቭዥን,መርሀግብሩ,ተጀምሯልከዮድ,አቢሲንያ,የማብሰርያ,ዝግጅት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,የነዚህን,አይነት,ወሬ,አራጋቢ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,የበታችነት,ስሜት,ማንም,አክራሪ,ሰክሮ,እየመጣ,መስጂድህን,ሲያቃጥልብህ,ብንናገር,መልሰህ,እኛን,አገባቹ,ትላለህያንተን,አይነት,አለቅላቂ,ምስጋና,ፈልገን,አይደለም,የምንታገለው,አባቱ,ማጎንበስም,ትችላለህ,,,,,,,,,,,,,,
51,የአባገዳ,ልጅ,ጠሚር,ዶር,አብይ,አህመድ,በጉጂ,አባገዳ,ተመርቀዉ,ካላቻ,አስረዋል,ዶር,ደስ,አለህ,,,,,,,,,,,,,,,,,,,,,,
52,የገዛ,ጓደኞቻቸውን,ከመግደል,ወደኋላ,የማይሉበት,ስሜት,ያሉት,ይሄ,ደሞ,በየትኛውም,የተማሪዎች,ዘመን,ታይቶ,የማይታወቅ,ግልብነትግልፍተኝነት,ጉዳይ,እስኪጣራ,እስኪረጋጋ,አስተማማኝ,ሰላም,ማረጋገጥ,እንደሚቻል,,,,,,,,,,,,,,
53,የሰኔ,ቱን,ፍንዳታ,በተመለከተ,ወደአሜሪካ,የተላከውን,የተጠርጣሪዎች,አሻራ,ውጤት,ጤና,ጥበቃ,ሚንስቴር,በነካ,እጁ,ቢገልጽልንግራ,ቢገባኝ,እኮ,,,,,,,,,,,,,,,,,,,
54,በኤክሳይዝ,ታክስ,ሰበብ,የታየው,የዋጋ,ንረት,መነሻው,የተዛባ,የገበያ,ስርአት,መንግስት,አስተባበለ,,,,,,,,,,,,,,,,,,,,,,,,
55,አብይ,እራሱ,ጀዋርን,መጠቀሚያ,አርጎታል,ተጠያቂዉ,አብይ,ነዉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ልክ,ጋን,ዉስጥ,እንዳለች,እንቁራሪት,ነዉ,በለኝ,ትንሽዬ,ብርሀን,ስታይ,ኖራ,ከጋኑ,ስትወጣ,በቃ,አልተቻለችም,እንደጀዋር,ኬኛ,ቁጭ,ደሞ,አንላቀቅም,ጀዋር,የኛ,መንፈስ,የሚኒሊክ,ነዉ,እንዳንተ,ያሉትን,እንቁራሪቷች,ልክ,እናገባለን,እመነኝ,,,,,
57,ጥንብ,ዘረኛ,ጥፋ,መርዝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ወያኔን,ለመጣል,ድርሻ,ነበራችሁ,ከወደቀ,ጉራ,ከመንዛት,በቀር,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ያሉት,መኪኖች,ብዛት,ሚልየን,አይደርስም,በሚገርም,ግን,በአማካይ,በአመት,ከዎች,በትራፊክ,አደጋ,ህይወታቸውን,ያልፋል,,,,,,,,,,,,,,,,,,,,,,
60,በነገራችን,"""የእነዛ",ምስኪን,ንጹሃን,ምንዱባን,ነፍሳት,የተቀጠፈ,ህይወት,አይረሳም,"""",ቀን,ጀምበር,በዘመዳሞች,ፉክክር,በአብይ,አህመድና,የአይኤስ,ወኪል,በሆነዉ,ግለሰብ,የተፈጁትን,የንጹሃን,ኢትዮጵያውያን,,,,,,,,,,,,,
61,ሰለቸኝ,ጌታን,አውሬነት,እየተለወጠ,ደከመኝ,ደከመኝ,ጌታ,ሆይ,አረ,አይነት,ዘመን,ፔጅ,ሄዶ,ያንን,ሙሉጭ,አርጎ,መስደብ,ይሉታል,መሳደብ,ይቀላል,ወይስ,ያንን,ፔጅ,አለማየት,,,,,,,,,,,,
62,ልክ,ከምትላቸው,ቃላት,ቅንነት,ለመገመት,ችያለሁ,ቅንማ,ባትሆን,ኪራይ,ሰብሳቢነኝ,ስትል,በኢትቪ,ቀርጸው,ዶክሞንተሪ,የሚሰርቡህ,,,,,,,,,,,,,,,,,,,,,
63,ሞቻለሁ,ጌታ,ሆይ,ኧረ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ተፎካካሪ,ፓርቲዎች,ተሰባስበው,ቡድን,አዋቅረው,ፋና,ዋልታ,ኢቲቪ,አጠቃላይ,የህዝብ,ሀብት,ሚዲያዎች,የባለቤትነት,አጠቃቀም,ጥርት,ጽድት,መስመር,እንዲሰመር,ከአሁኑ,መታገል,አለባቸው,,,,,,,,,,,,,,,
65,ኦሮሞ,ምንም,ቢማር,ከብት,ነዉ,አያስተዉልም,ጥንብ,ዘረኛ,ናቸዉ,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,እየሱስ,ክርስቶስ,ከድንግል,ማርያም,የተወለደ,በስጋ,ከዳዊት,ዘር,የተወለደው,ስለሰው,ልጆች,ሀጢአት,እዳለመክፈል,የምትሉ,ፔድ,መወያየት,እንችላለን,,,,,,,,,,,,,,,,,,,
67,የጌታዬ,እናት,ንጺህተ,ንጹሀን,ቅድስተ,ቅዱሳን,ድንግል,ማርያም,ምንም,አኔ,ሀጢያተኛ,ልጅሽ,የማይገባኝን,አስቢኝ,ከሰራሁት,የልጅሽ,ቃልኪዳን,ይበልጣልና,አሳስቢልኝ,ሰአሊለነ,ቅድስት,,,,,,,,,,,,,,,
68,አምላከ,ቅዱስ,ኡራኤል,መልአክ,ቀኑን,የተበረከና,የተቀደሰ,ያድርግልን,በሰላም,ያሳደረን,በሰላም,ያውለን,አገራችንን,ኢትዮጵያን,ዳሯን,እሳት,መሃሏን,ገነት,አድርጎ,ይጠብቅልን,አሜን,,,,,,,,,,,,,,,
69,ጥሩ,ጊዜበተለይ,ቆመን,"""ተንቦገቦገች""",ያልናት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ማለት,ኦሮምኛ,እስክንለምድ,ድረስ,ኦሮሚኛ,የምትችሉ,ተርጉሙልን,እስቲ,ፎቶው,ፓ,ሰላም,ፍቅር,ደስታ,ፈገግታ,በሁሉም,ሰፍኗል,ከነሱ,አቢቹ,ከአቢቹም,ወደነሱ,ይፈነጠቃል,ደስ,ነጌኒ,በዳዳ,መኖርደስይላል,,,,,,,,,,,
71,መልካም,እሴቶችን,በማሳደግ,ችግሮችን,በሰላም,ለመፍታት,ዜጋ,አብሮ,መቆም,የሀይማኖት,አባቶች,,,,,,,,,,,,,,,,,,,,,,,,,
72,ሃሃሃሃ,ቀልጅ,አመት,በሀላ,መሬት,በሚሊዮኖች,የመገበያያው,ዶላር,ቡልልልልል,ማለታችን,እንደማይቀር,እወቂ,,,,,,,,,,,,,,,,,,,,,,,,
73,ይታመሳል,አሉ,ከፋ,ቦረና,ሰላም,አይደሉም,እነራስ,ጎበና,የሚሰጡት,ቢያጡ,ከድፍን,አበሻ,ለኡራኤል,ሰጡት,የጎበናን,ጋሻ,የተዘፈነላቸው,ስመጥሩ,ጀግና,ራስ,ጎበና,ይ,,,,,,,,,,,,,,
74,የኢትዮጵያ,መንግስት,በግድቡ,ዙሪያ,በሚደረገው,ድርድር,ከፍተኛ,ጥንቃቄ,ሊያደርግ,ይገባዋል,ምክናያቱም,አሜሪካ,ለግብጽ,የማታዳለበት,ምክንያት,የለም,,,,,,,,,,,,,,,,,,,,
75,በደከመች,ጊዜ,በግፍ,የተወሰደባትን,የባህር,በር,የጊዜ,ጉዳይ,ማስመለሷ,አይቀርም,ከቻይና,ቦሊቪያ,ብዙ,ልንማር,,,,,,,,,,,,,,,,,,,,,,
76,በተለይ,ምእራብ,ወለጋ,ግዛቱ,አመት,ድፍን,አመታት,ሙሉ,ኦነግ,ነጻ,መንግስት,ኾኖ,ልጆችን,ለወታደርነት,ሲመለምል,ትምህርት,ቤቶችን,ጭምር,የወታደር,ካምፕ,ሲያደርግ,የሚናገር,ጠፋ,,,,,,,,,,,,,
77,ቲሽ,ጨለምተኛ,ዱቄት,ቆመሃል,እንዴ,ጊዜው,ነጉዷል,አሉባልታህን,ቀቅለህ,ብላው,ልደቱ,እየመጣ,,,,,,,,,,,,,,,,,,,,,,,,
78,እረ,እረፍት,አርግ,ይሄ,ደግሞ,የአንተ,ስራ,አይደለም,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,የኛ,ቁልጭ,መኩሪያ,ነሽ,እኮ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ክፉ,ተናግረውክፉ,አናገሩኝ,ይቅር,በይኝ,አስኮንኞች,እኮ,ከደሙ,ንጹህ,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,ያንች,ነጻነት,በአማራ,ወሬኛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ቅውቀት,ዛሬ,በሽ,ነበርብሬ,ከባድ,ሚዛን,በተግባር,አየን,አይጠገቤው,ኢንተርቪው,እውቀት,ስገበይ,ዋልኩ,ብል,ማጋነን,አይሆንብኝም,ቤሬን,የሚመጥን,ጋዜጠኛ,ግን,አገርቤት,አይመስለኝም,,,,,,,,,,,,,,
83,የህዳሴ,ግድብ,የሶስትዮሽ,ውይይት,በካይሮ,እየተካሄደ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,በግሌ,ኡስታዝ,አቡበክር,አህመድ,ምጠ,ሚኒስትሩ,ስልክ,እንደደወለላቸው,ጭምር,ትዝ,ይለኛል,,,,,,,,,,,,,,,,,,,,,,,,,
85,ጥሩ,ስራ,አድራሻቸውን,ማግኘት,ብችል,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ይሄ,ዜና,ስብሰባው,ከመደረጉ,በፊት,ማለት,ትችሉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,በአማራ,ክልል,ሊሰሩ,የሚባሉት,መንገዶች,ሲንጠባጠቡ,ሲራዘሙ,የቆዩ,ፍትሀዊነትን,ለማስፈን,እስካሁን,በአማራ,ክልል,ምንም,አይነት,የመንገድ,ፕሮጀክት,አለመጀመሩ,ሊታወቅ,የርመስተዳድር,አማካሪ,ግዛት,አብዩ,,,,,,,,,,,,,
88,አስኬ,መልካም,ሰዉ,መሆንህን,ስራህ,ይመሰክራል,እንኮን,አንተን,ክርስቶስንም,ወንጀለኛ,ነዉ,ብለዉታል,መልካም,አድርግ,ድሉ,የእግዛቤር,ነዉ,እግዛቤር,ሁል,ጊዜ,መልካም,ሚያረገዉ,ሰዉ,ነዉ,የሚሆነዉ,አይዞህ,እግርህ,ስር,ይወድቃሉ,,,,,,,
89,እኔም,እሱን,ብዬ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,ኢቲቪ,እውነት,መናገር,ጀመረ,ብልጋና,ፓርቲ,መጪወ,ግዜ,ከብልግና,ፓርቲ,ጨለማ,ነዉ,ኢቲቪ,እውነት,መናገር,ጀመረ,ብልጋና,ፓርቲ,መጪወ,ግዜ,ከብልግና,ፓርቲ,ጨለማ,ነዉ,ኢቲቪ,እውነት,መናገር,ጀመረ,ብልጋና,ፓርቲ,መጪወ,ግዜ,ከብልግና,ፓርቲ,ጨለማ,ነዉ
91,የጎንደር,ዩኒቨርሲቲ,እንደሚለው,ቅጣት,የተጣለባቸው,ግለሰቦች,ኹከት,እንዲስፋፋ,"""ተማሪዎች",ክፍል,እንዳይገቡ,መከልከል,ትምህርት,እንዳይጀመር,ተማሪዎችን,መምህራንን,በማስፈራራት,ስለት,ነገሮችን,ግቢ,ይዘው,"በመገኘት""",ጥረት,አድርገዋል,,,,,,,,,,,,
92,እወድሽ,ነበረ,ዛሬስ,ጠላሁሽ,ሰፌድ,ቆሎ,ያም,ያም,ዘገነሽ,ጉድ,,,,,,,,,,,,,,,,,,,,,,,,,,
93,ታብሌት,ኮምፒውተሮቹ,በስጦታ,የተገኙ,ወይስ,በህዝቡ,ገንዘብ,የተገዙየከተማ,አስተዳደሩ,በጀት,ይዞለት,ነበርወይስ,ወዘፈቀደ,ከንቲባ,አንተስ,እየደገፍክ,ወይስ,ዜና,እያሰራጨኽ,,,,,,,,,,,,,,,,,
94,መልካም,አርጋ,የተጫወተችው,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,በከንቱ,አለመኖር,ሰመኝ,እድሜ,ያንቺ,ፍቅር,ለሚያለመልመኝ,ግን,ደህና,ኑረዲን,ኢሳ,,,,,,,,,,,,,,,,,,,,,,,,,
96,ሁል,ጊዜ,በጌታ,ደስ,ይበላችሁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,በአጠቃላይ,ፖሊሲ,አውጪዎችን,ጨምሮ,በኢትዮጲያ,ሙያን,የሚፈልጉ,የአገልግሎት,ቦታዎች,የሚገኙት,ሰዎች,በፖለቲካዊ,አስፈላጊነታቸው,ብቻና,ኢትዮጲያ,ለባለሙያዎቿ,በሯእንደተዘጋ,የተማረ,የሰው,ሀይል,እጥረት,ይላል,ደሞ,,,,,,,,,,,,,
98,ኢትዮጵያን,በሰላም,በወጣቶች,ስራ,አጥነት,ምክንያት,እጦት,እየተሰቃየች,መሪ,ባይ,ግን,ልማት,ከማምጣት,መዝናናት,ድግስ,በማድረግ,የህዝብ,በጀት,በግብዣ,እያለቀ,ነወ,በዘንድሮ,በተ,ቢሊዮን,ብር,ለድግስ,ወጪ,,,,,,,,,
99,የወለጋ,ጉዳይ,“አለባብሰው,ቢያራሱ”,አይነት,“በመንግስት”,በኦነግ,የተረገው,ድርድር,ግልጽ,አልነበረም,አካላት,መስማማት,አልቻሉም,የኦነግ,ሰራዊት,ካምፕ,ገባ,ቀሪው,በያለበት,ምሽጉን,ይዞ,ማሸበር,ጀመረ,,,,,,,,,,,,
100,እንተዋወቃለን,የሀበሻ,ወንዶች,ሀበሻ,ሴቶችን,ያዉቃሉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ንግግርህ,ጊዜ,አሜን,ብል,አይደክመኝም,ለሁላችንም,የምትመች,ሁላችንንም,እኩል,የምታይ,ሀገር,በጋራ,እንገነባለን,,,,,,,,,,,,,,,,,,,,,,,
102,ከዳር,ቆመን,የምናይበት,ጊዜ,አይደለም,ከዳር,ቆሞ,ማየት,መብትን,አሳልፎ,መስጠት,የኢዜማ,መሪ,ብርሃኑ,ነጋ,ፕሮፌሰር,ዛሬ,በነጋ,ቦንገር,ሆቴል,የተናገሩት,ስብሰባው,እንደቅጠለ,,,,,,,,,,,,,
103,ከበቂ,መረጃ,ግን,ለእንዳንተ,አይነቱ,አብይ,እራሱ,ወጥቶእኔ,የገደልኩት,ቢል,ከማጨብጨብ,ውጪ,ምንም,አታደርግም,ምክንያት,እየፈጠርክ,የሱን,ንጹነት,ትሰብካለ,ለሟች,ቤተሰብ,ደርሶ,ተቆርቋሪ,አትምሰል,,,,,,,,,,,,
104,እርግጠኛ,እፈልጋለሁ,እንደተለመደው,ውሸት,እየተናገሩ,አይደለም,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,የአዋሽ,ባንክ,የባለአክሲዮኖች,ኛ,መደበኛና,ኛ,ድንገተኛ,ጠቅላላ,ጉባኤ,ወሳኝ,የሚባሉ,ውሳኔዎቸ,ተላልፏል,የባንኩ,ካፒታል,ቢሊዮን,ብር,ቢሊዮን,ብር,ኢንድያድግ,ተወስኗል,የቦርድ,አባላት,ምርጫም,ተካሄዷል,,,,,,,,,,,
